TBM,,,32.502,TAG RT FT JN19027
4215,2116905.251,6114438.577,0.000,AA S series caisson
4216,2116901.397,6114431.567,0.000,AA S series caisson
4217,2116897.543,6114424.557,0.000,AA S series caisson
4218,2116893.689,6114417.546,0.000,AA S series caisson
4219,2116889.835,6114410.536,0.000,AA S series caisson
4220,2116885.981,6114403.525,0.000,AA S series caisson
4251,2116963.051,6114402.352,0.000,AA S series prod to PL
4252,2116967.980,6114411.318,0.000,AA S series prod to PL
4253,2116972.909,6114420.284,0.000,AA S series prod to PL
4254,2116977.838,6114429.250,0.000,AA S series prod to PL
4255,2116982.768,6114438.216,0.000,AA S series prod to PL
4256,2116987.697,6114447.183,0.000,AA S series prod to PL
4257,2116992.627,6114456.151,0.000,AA S series prod to PL
4258,2116996.599,6114463.375,0.000,AA S series prod to PL
4259,2116926.727,6114481.545,0.000,AA S series prod to PL
4260,2116922.876,6114474.533,0.000,AA S series prod to PL
4261,2116919.025,6114467.521,0.000,AA S series prod to PL
4262,2116915.174,6114460.509,0.000,AA S series prod to PL
4263,2116911.323,6114453.497,0.000,AA S series prod to PL
4264,2116907.472,6114446.484,0.000,AA S series prod to PL
4265,2116903.621,6114439.472,0.000,AA S series prod to PL
4266,2116899.770,6114432.460,0.000,AA S series prod to PL
4267,2116895.919,6114425.448,0.000,AA S series prod to PL
4268,2116892.068,6114418.436,0.000,AA S series prod to PL
4269,2116888.217,6114411.424,0.000,AA S series prod to PL
4270,2116884.366,6114404.412,0.000,AA S series prod to PL
4301,2116901.985,6114436.493,0.000,AC bldg line prod to PL
4302,2116963.292,6114402.790,0.000,AC bldg line prod to PL
4303,2116997.978,6114465.884,0.000,AC bldg line prod to PL
4304,2116936.644,6114499.602,0.000,AC bldg line prod to PL
4401,2116928.244,6114377.789,0.000,AD pool caisson
4402,2116920.357,6114382.125,0.000,AD pool caisson
4403,2116912.470,6114386.460,0.000,AD pool caisson
4404,2116904.583,6114390.796,0.000,AD pool caisson
4405,2116896.697,6114395.132,0.000,AD pool caisson
4406,2116888.810,6114399.468,0.000,AD pool caisson
4407,2116894.109,6114409.107,0.000,AD pool caisson
4408,2116901.996,6114404.771,0.000,AD pool caisson
4409,2116909.883,6114400.436,0.000,AD pool caisson
4410,2116917.769,6114396.100,0.000,AD pool caisson
4411,2116925.656,6114391.764,0.000,AD pool caisson
4412,2116933.543,6114387.428,0.000,AD pool caisson
10511,2116892.522,6114565.235,39.596,72/TR201
10512,2116946.262,6114534.205,38.934,72/TR202
10513,2117039.646,6114484.097,37.626,72/TR203
10514,2116916.319,6114462.795,45.807,MP
10515,2116893.421,6114421.500,43.610,MP
10516,2116964.027,6114404.994,44.531,MP
10517,2116981.307,6114435.920,44.774,MP
10518,2116996.479,6114463.682,44.788,MP
14401,2116928.231,6114377.786,28.620,4401
14402,2116920.361,6114382.117,27.111,4402
14403,2116912.468,6114386.467,27.123,4403
14404,2116904.581,6114390.790,27.285,4404
14405,2116896.684,6114395.148,27.101,4405
14406,2116888.787,6114399.436,27.940,4406
14407,2116894.120,6114409.087,27.293,4407
14408,2116900.880,6114404.233,27.163,4408
14409,2116909.839,6114400.416,27.195,4409
14410,2116917.774,6114396.088,27.127,4410
14411,2116925.639,6114391.770,27.059,4411
14412,2116933.538,6114387.420,26.975,4412
10519,2116892.524,6114565.234,39.592,72/TR201
10520,2116946.265,6114534.206,38.931,72/TR202
10521,2117039.645,6114484.105,37.624,72/TR203
10522,2116916.325,6114462.796,45.809,MP
10523,2116893.427,6114421.502,43.611,MP
10524,2116934.779,6114496.236,45.766,MP
10525,2116996.483,6114463.685,44.789,MP
10526,2116981.308,6114435.924,44.776,MP
10527,2116892.512,6114565.240,39.594,72/TR201
10528,2116946.259,6114534.208,38.933,72/TR202
10529,2117039.653,6114484.094,37.626,72/TR203
10530,2116934.773,6114496.235,45.763,MP
10531,2116916.320,6114462.795,45.805,MP
10532,2116893.418,6114421.500,43.607,MP
10533,2116996.477,6114463.685,44.786,MP
10534,2116892.524,6114565.234,39.590,72/TR201
10535,2116946.263,6114534.207,38.928,72/TR202
10536,2117039.644,6114484.101,37.620,72/TR203
10537,2116934.782,6114496.236,45.762,MP
10538,2116916.328,6114462.798,45.807,MP
10539,2116893.420,6114421.506,43.610,MP
10540,2116900.800,6114433.289,30.068,1502/BM
10542,2116946.267,6114534.207,38.937,72/TR202
10543,2117039.646,6114484.099,37.632,72/TR203
10544,2116916.329,6114462.796,45.813,MP
10545,2116934.780,6114496.237,45.767,MP
10546,2116893.420,6114421.504,43.614,MP
10541,2116892.526,6114565.233,39.596,72/TR201
10549,2116964.026,6114405.002,44.538,MP
10550,2116981.294,6114435.931,44.782,MP
