TBM,,,32.502,TAG RT FT JN19027
10146,5054.923,4982.006,42.022,TW
10147,5053.036,4951.843,39.325,1.303
10148,5052.490,4925.942,39.114,1.303
10149,5052.209,4912.901,39.470,1.303
10150,5052.006,4903.978,39.600,1.303
10151,5051.709,4903.801,39.599,1.303
10152,5051.408,4889.816,39.940,1.303
10153,5051.488,4889.877,39.936,1.104
10154,5048.067,4889.204,40.123,1.104
10155,5040.998,4888.765,40.180,1.104
10156,5029.450,4887.717,40.253,1.104
10157,5016.765,4887.787,40.383,1.104
10158,4999.875,4887.651,40.495,1.104
10159,4989.912,4886.936,40.285,1.104
10160,4982.353,4887.641,40.096,1.104E
10161,4991.339,4903.052,39.963,150
10162,5012.277,4904.028,39.804,150
10163,5036.959,4903.860,39.840,150
10164,5038.872,4927.203,39.469,150
10165,5016.079,4930.197,39.765,150
10166,4994.123,4929.367,39.890,150
10167,4993.069,4957.698,39.713,150
10168,5017.408,4959.486,39.472,150
10169,5039.049,4960.060,39.448,150
10170,5039.633,4980.969,39.294,150
10171,5019.765,4980.974,39.217,150
10172,4993.904,4982.136,39.408,150
10173,5052.705,4931.958,44.741,TW
10174,5052.100,4896.223,44.711,TW
10175,5052.935,4896.171,44.539,TW
10176,5052.042,4895.534,42.577,TW
10177,5051.939,4887.139,42.563,TW
10178,5051.828,4886.762,40.409,TW
10179,5051.253,4879.493,35.554,1.303
10180,5051.015,4869.600,30.140,1.303E
10181,5051.005,4869.609,30.139,2.201
10182,5051.001,4869.607,30.139,2.301
10183,5050.978,4867.488,29.886,2.301
10184,5051.418,4867.470,29.890,2.301E
10185,5050.239,4868.559,29.790,2.106
10186,5045.760,4868.522,29.448,2.106
10187,5045.376,4864.606,29.114,2.106
10188,5046.170,4863.680,29.754,2.104
10189,5046.319,4867.798,29.855,2.104
10190,5050.985,4868.009,29.840,2.104E
10191,5051.368,4867.724,30.493,TW
10192,5044.873,4869.493,29.678,2.201
10193,5044.574,4865.527,29.541,2.201
10194,5034.603,4864.991,28.515,2.106
10195,5033.825,4866.130,29.007,2.201
10196,5033.656,4863.547,28.763,2.201
10197,5034.447,4863.515,28.175,2.106
10198,5034.399,4851.228,22.313,2.106
10199,5034.340,4849.770,22.006,2.106
10200,5033.206,4850.881,22.842,2.201
10201,5033.375,4850.573,22.216,2.201
10202,5033.222,4851.276,22.747,1.303
10203,5033.215,4850.978,22.880,TW
10204,5023.466,4851.201,22.697,1.303
10205,5023.377,4850.635,22.114,2.201
10206,5023.289,4849.457,21.668,2.106
10207,5005.218,4849.436,21.530,2.106
10208,5005.030,4850.188,22.047,2.201
10209,5005.055,4850.661,22.624,1.303
10210,5005.085,4850.456,22.730,TW
10211,4989.508,4850.383,22.611,TW
10212,4989.792,4850.538,22.499,1.303
10213,4989.387,4850.207,21.897,2.201
10214,4989.967,4849.287,21.448,2.106
10215,4988.721,4849.268,21.492,2.106E
10216,4988.193,4849.340,21.469,TG 12X12
10217,4988.079,4850.088,21.478,2.106
10218,4987.965,4852.128,22.154,2.106
10219,4986.740,4852.099,23.018,2.106
10220,4989.559,4853.203,24.302,TW
10221,4989.919,4853.420,23.207,1.303
10222,4989.404,4852.762,23.703,2.201
10223,4986.981,4852.808,23.738,2.201
10224,4986.886,4853.623,23.322,1.303
10225,4979.445,4853.559,24.182,1.303E
10226,4979.701,4853.415,24.514,TW
10227,4979.801,4853.043,23.945,2.201E
10228,4980.142,4852.199,23.750,2.106E
10229,4980.018,4851.384,23.973,2.201
10230,4981.516,4850.970,24.675,0.111
10231,4981.506,4853.604,24.088,1.111
10232,4981.530,4861.266,27.554,1.111
10233,4981.673,4867.683,30.246,1.111E
10234,4979.083,4861.144,27.509,150
10235,4986.953,4851.168,23.671,2.201
10236,4987.243,4848.475,22.141,2.201
10237,4989.996,4848.249,21.945,2.201
10238,4987.357,4848.172,22.834,TW
10239,4986.134,4851.012,24.788,TW
10240,5005.388,4848.535,22.025,2.201
10241,5023.272,4848.507,22.691,2.201
10242,5034.906,4848.743,22.294,2.201
10243,5035.049,4848.726,22.296,0.303
10244,5036.561,4848.724,22.431,0.303E
10245,5035.980,4849.199,23.934,TW
10246,5034.748,4848.625,22.868,TW
10247,5035.025,4850.719,22.352,2.201
10248,5035.995,4853.500,25.093,TW
10249,5035.798,4855.216,26.376,TW
10250,5036.013,4857.458,27.529,TW
10251,5036.187,4859.547,28.643,TW
10252,5036.094,4861.643,29.811,TW
10253,5035.298,4857.431,25.613,2.201
10254,5035.623,4863.879,28.669,2.201
10255,5042.568,4863.760,29.391,2.201
10256,5043.122,4862.886,30.212,TW
10257,5045.982,4863.790,29.714,2.201
