MP2.12,10096.160,9998.560,76.849,MP2
MP4.12,10018.717,10003.882,75.756,MP4
MP5.12,9928.431,9913.398,23.612,MP5
TR501.13,9879.820,9887.608,14.646,TR501
TR502.13,10246.294,9947.800,34.449,TR502
TR504.13,10170.749,9738.324,13.310,TR504
MP2.13,10096.152,9998.561,76.845,MP2
MP4.13,10018.714,10003.877,75.748,MP4
MP5.13,9928.426,9913.399,23.607,MP5
TR501.14,9879.817,9887.608,14.651,TR501
TR502.14,10246.292,9947.798,34.448,TR502
TR504.14,10170.751,9738.322,13.309,TR504
MP1.14,10104.380,10021.461,76.742,MP1
MP2.14,10096.155,9998.560,76.845,MP2
MP3.14,10066.513,9988.171,76.869,MP3
MP4.14,10018.715,10003.877,75.746,MP4
MP5.14,9928.432,9913.397,23.602,MP5
TR2822,9991.860,9945.924,33.604,156/ CM 60D
TR200,10145.399,10001.110,68.311,STICKY NEW CONDO BLDG ON METAL BOX
TR201,10051.123,9981.962,58.414,STICKY PINK HOSE 6.0 45 ANG PT
TR202,10012.430,9998.644,54.568,STICKY PINK HOUSE CORNERAT CRAWLSPACE DOOR
1TR202,10012.428,9998.639,54.561,TR202
10007,10090.474,9977.222,51.370,1502/ TOP LAST WOOD BEAM
10008,10069.715,9978.828,51.371,1502/ TOP LAST WOOD BEAM
14612,10054.402,9970.904,31.351,4612
14613,10057.589,9969.771,31.349,4613
14614,10054.313,9959.082,31.368,4614
46180,10068.716,9972.295,31.533,4618-4616
14617,10071.298,9965.079,31.369,4617
14611,10050.457,9959.576,31.350,4611
TR501.15,9879.815,9887.607,14.656,TR501
TR502.15,10246.294,9947.799,34.452,TR502
TR504.15,10170.751,9738.319,13.317,TR504
MP1.15,10104.374,10021.464,76.750,MP1
MP2.15,10096.154,9998.558,76.851,MP2
MP3.15,10066.507,9988.168,76.879,MP3
MP4.15,10018.716,10003.877,75.756,MP4
MP5.15,9928.429,9913.398,23.611,MP5
TR501.16,9879.816,9887.608,14.649,TR501
TR502.16,10246.293,9947.796,34.445,TR502
TR504.16,10170.754,9738.326,13.311,TR504
MP1.16,10104.380,10021.458,76.744,MP1
MP2.16,10096.158,9998.555,76.848,MP2
MP3.16,10066.513,9988.169,76.873,MP3
MP5.16,9928.436,9913.392,23.611,MP5
TR501.17,9879.819,9887.608,14.657,TR501
TR502.17,10246.295,9947.797,34.450,TR502
TR504.17,10170.750,9738.322,13.317,TR504
MP1.17,10104.380,10021.462,76.747,MP1
MP2.17,10096.157,9998.561,76.852,MP2
MP3.17,10066.514,9988.172,76.877,MP3
MP4.17,10018.719,10003.883,75.756,MP4
MP5.17,9928.438,9913.401,23.611,MP5
TR501.18,9879.817,9887.608,14.652,TR501
TR502.18,10246.292,9947.798,34.449,TR502
MP2.18,10096.158,9998.559,76.850,MP2
MP3.18,10066.514,9988.170,76.876,MP3
MP4.18,10018.717,10003.884,75.755,MP4
MP5.18,9928.433,9913.399,23.612,MP5
TR501.19,9879.817,9887.608,14.652,TR501
TR502.19,10246.294,9947.798,34.449,TR502
TR504.19,10170.749,9738.318,13.315,TR504
1MP1,10104.377,10021.460,76.745,MP1
MP2.19,10096.154,9998.558,76.850,MP2
MP3.19,10066.508,9988.169,76.879,MP3
MP4.19,10018.717,10003.878,75.753,MP4
MP5.19,9928.433,9913.397,23.611,MP5
TR501.20,9879.811,9887.607,14.659,TR501
TR502.20,10246.293,9947.799,34.455,TR502
TR504.20,10170.743,9738.320,13.317,TR504
MP1.20,10104.378,10021.465,76.748,MP1
MP2.20,10096.153,9998.566,76.853,MP2
MP3.20,10066.509,9988.174,76.879,MP3
MP4.20,10018.715,10003.893,75.758,MP4
TR501.21,9879.809,9887.607,14.658,TR501
TR502.21,10246.292,9947.798,34.452,TR502
TR504.21,10170.745,9738.318,13.317,TR504
MP1.21,10104.377,10021.460,76.745,MP1
MP2.21,10096.154,9998.559,76.850,MP2
MP3.21,10066.510,9988.170,76.878,MP3
MP4.21,10018.715,10003.884,75.757,MP4
MP5A,9937.039,9923.388,26.711,
TR501.22,9879.816,9887.608,14.651,TR501
TR502.22,10246.292,9947.795,34.447,TR502
TR503.22,10123.444,9682.307,12.102,TR503
TR504.22,10170.745,9738.319,13.314,TR504
MP2.22,10096.157,9998.556,76.849,MP2
MP3.22,10066.513,9988.170,76.878,MP3
MP4.22,10018.717,10003.885,75.752,MP4
MP5A.22,9937.040,9923.388,26.707,MP5A
TR501.23,9879.811,9887.607,14.648,TR501
TR502.23,10246.291,9947.800,34.447,TR502
TR504.23,10170.746,9738.319,13.312,TR504
MP1.23,10104.377,10021.460,76.745,MP1
MP2.23,10096.155,9998.560,76.848,MP2
MP3.23,10066.508,9988.171,76.872,MP3
MP4.23,10018.711,10003.883,75.752,MP4
MP5A.23,9937.034,9923.388,26.704,MP5A
TR501.24,9879.813,9887.607,14.645,TR501
TR502.24,10246.290,9947.799,34.446,TR502
TR503.24,10123.448,9682.307,12.097,TR503
TR504.24,10170.746,9738.320,13.312,TR504
MP2.24,10096.152,9998.558,76.850,MP2
MP3.24,10066.510,9988.168,76.875,MP3
MP4.24,10018.713,10003.881,75.753,MP4
MP5A.24,9937.036,9923.388,26.705,MP5A
TR501.25,9879.814,9887.607,14.648,TR501
TR502.25,10246.291,9947.797,34.448,TR502
TR503.25,10123.444,9682.309,12.099,TR503
TR504.25,10170.746,9738.322,13.317,TR504
MP1.25,10104.381,10021.457,76.744,MP1
MP2.25,10096.156,9998.556,76.849,MP2
MP3.25,10066.509,9988.167,76.871,MP3
MP4.25,10018.719,10003.881,75.750,MP4
MP5A.25,9937.040,9923.388,26.708,MP5A
TR501.26,9879.812,9887.607,14.660,TR501
TR502.26,10246.289,9947.797,34.453,TR502
TR504.26,10170.746,9738.322,13.317,TR504
TR504.26A,10170.744,9738.321,13.317,TR504
MP1.26,10104.378,10021.459,76.750,MP1
MP2.26,10096.157,9998.562,76.853,MP2
MP3.26,10066.511,9988.174,76.881,MP3
MP4.26,10018.719,10003.886,75.758,MP4
MP5A.26,9937.036,9923.392,26.713,MP5A
TR501.27,9879.819,9887.608,14.652,TR501
TR502.27,10246.291,9947.794,34.452,TR502
TR504.27,10170.746,9738.322,13.316,TR504
MP1.27,10104.382,10021.457,76.743,MP1
MP2.27,10096.158,9998.557,76.849,MP2
MP3.27,10066.513,9988.168,76.878,MP3
MP4.27,10018.716,10003.887,75.755,MP4
MP5A.27,9937.044,9923.388,26.713,MP5A
TR501.28,9879.812,9887.607,14.655,TR501
TR502.28,10246.289,9947.797,34.448,TR502
TR504.28,10170.744,9738.318,13.314,TR504
MP1.28,10104.376,10021.461,76.746,MP1
MP2.28,10096.151,9998.560,76.851,MP2
MP3.28,10066.509,9988.167,76.879,MP3
MP4.28,10018.713,10003.882,75.755,MP4
MP5A.28,9937.035,9923.388,26.712,MP5A
TR501.29,9879.811,9887.607,14.654,TR501
TR502.29,10246.289,9947.796,34.451,TR502
TR504.29,10170.743,9738.320,13.317,TR504
MP1.29,10104.376,10021.461,76.745,MP1
MP2.29,10096.152,9998.559,76.851,MP2
MP3.29,10066.507,9988.168,76.879,MP3
MP4.29,10018.712,10003.884,75.758,MP4
MP5A.29,9937.034,9923.388,26.710,MP5A
TR501.30,9879.811,9887.607,14.650,TR501
TR502.30,10246.290,9947.799,34.449,TR502
TR503.30,10123.445,9682.299,12.099,TR503
TR504.30,10170.751,9738.323,13.314,TR504
MP2.30,10096.151,9998.559,76.851,MP2
MP3.30,10066.512,9988.166,76.877,MP3
MP4.30,10018.713,10003.878,75.757,MP4
MP5A.30,9937.038,9923.380,26.707,MP5A
13115,10122.125,10038.655,67.806,CL CL
13101,10114.668,10039.121,68.281,TAG L
13100,10000.007,10000.007,46.619,TAG L RR PINK HOUSE
13102,9940.555,9908.876,16.831,TAG TW
3100,10000.000,10000.000,0.000,BD point
3101,10114.639,10039.100,0.000,BD point
3102,9940.528,9908.857,0.000,BD point
